District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Freetown-Lakeville,06650000,"   2,825",98.00,   0.8,   2.9,   0.0,   0.0,   0.0,   0.0,   0.0
Frontier,06700000,     626,5.00,,,,,,,
Gardner,01030000,"   2,411",72.00,   0.3,   2.7,   0.0,   0.0,   0.0,   0.0,   0.0
Gateway,06720000,     781,17.00,   1.2,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
Georgetown,01050000,"   1,297",0.00,,,,,,,
Gill-Montague,06740000,     887,24.00,   2.0,   1.6,   0.0,   0.0,   0.0,   0.0,   0.0
Global Learning Charter Public (District),04960000,     511,60.00,   3.7,   8.8,   0.0,   0.0,   0.0,   0.0,   0.0
Gloucester,01070000,"   2,959",62.00,   0.0,   2.1,   0.0,   0.0,   0.0,   0.0,   0.0
Gosnold,01090000,       0,,,,,,,,
Grafton,01100000,"   3,226",75.00,   1.3,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
Granby,01110000,     732,9.00,   1.1,   1.1,   0.0,   0.0,   0.0,   0.1,   0.0
Greater Commonwealth Virtual District,39010000,"   1,392",0.00,,,,,,,
Greater Fall River Regional Vocational Technical,08210000,"   1,435",99.00,   2.0,   5.6,   0.0,   0.0,   0.0,   0.0,   0.0
Greater Lawrence Regional Vocational Technical,08230000,"   1,663",91.00,   0.2,   5.4,   0.0,   0.0,   0.0,   0.0,   0.0
Greater Lowell Regional Vocational Technical,08280000,"   2,306",186.00,   3.6,   4.7,   0.0,   0.1,   1.9,   0.0,   0.0
Greater New Bedford Regional Vocational Technical,08250000,"   2,133",181.00,   5.3,   4.2,   0.0,   0.0,   0.0,   0.0,   0.0
Greenfield,01140000,"   1,685",182.00,   4.1,   9.7,   0.0,   0.0,   0.0,   0.1,   0.0
Groton-Dunstable,06730000,"   2,393",27.00,   0.6,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
Hadley,01170000,     524,1.00,,,,,,,
Halifax,01180000,     575,3.00,,,,,,,
Hamilton-Wenham,06750000,"   1,708",14.00,   0.4,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
Hampden Charter School of Science East (District),04990000,     567,27.00,   0.9,   3.9,   0.0,   0.0,   0.0,   0.0,   0.0
Hampden Charter School of Science West (District),35160000,     371,28.00,   0.0,   7.5,   0.0,   0.0,   0.0,   0.0,   0.0
Hampden-Wilbraham,06800000,"   2,977",185.00,   5.0,   2.9,   0.0,   0.0,   0.0,   0.0,   0.0
Hampshire,06830000,     698,23.00,   0.9,   3.2,   0.0,   0.0,   0.0,   0.0,   0.0
Hancock,01210000,      60,0.00,,,,,,,
Hanover,01220000,"   2,654",16.00,   0.1,   0.5,   0.0,   0.0,   0.1,   0.0,   0.0
Harvard,01250000,"   1,060",10.00,   0.8,   0.6,   0.0,   0.0,   0.0,   0.0,   0.0
Hatfield,01270000,     397,0.00,,,,,,,
Haverhill,01280000,"   8,261",598.00,   1.7,   6.5,   0.0,   0.0,   0.0,   0.0,   0.0
Hawlemont,06850000,     130,0.00,,,,,,,
Helen Y. Davis Leadership Academy Charter Public (District),04190000,     165,16.00,   4.2,   5.5,   0.0,   0.0,   4.8,   0.0,   0.0
Hill View Montessori Charter Public (District),04550000,     326,6.00,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Hilltown Cooperative Charter Public (District),04500000,     218,0.00,,,,,,,
Hingham,01310000,"   3,907",49.00,   0.8,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
Holbrook,01330000,"   1,361",45.00,   0.3,   3.2,   0.0,   0.0,   0.0,   0.0,   0.0
Holland,01350000,     251,0.00,,,,,,,
Holliston,01360000,"   2,882",36.00,   0.6,   0.7,   0.0,   0.0,   0.0,   0.0,   0.1
Holyoke,01370000,"   5,543",598.00,   2.5,   9.3,   0.0,   0.0,   1.4,   0.1,   0.0
Holyoke Community Charter (District),04530000,     687,105.00,   4.1,  13.8,   0.0,   0.0,   0.0,   0.0,   0.0
Hoosac Valley Regional,06030000,"   1,068",26.00,   0.3,   0.9,   0.0,   0.0,   1.3,   0.0,   0.0
Hopedale,01380000,"   1,161",16.00,   0.2,   1.3,   0.0,   0.0,   0.0,   0.0,   0.0
Hopkinton,01390000,"   4,123",56.00,   1.0,   0.6,   0.0,   0.0,   0.0,   0.0,   0.0
Hudson,01410000,"   2,463",112.00,   1.2,   4.1,   0.0,   0.0,   0.1,   0.0,   0.0
Hull,01420000,     840,40.00,   3.9,   1.3,   0.0,   0.0,   0.2,   0.0,   0.0
Innovation Academy Charter (District),04350000,     789,55.00,   1.9,   5.7,   0.0,   0.0,   0.0,   0.0,   0.0
Ipswich,01440000,"   1,675",21.00,   1.1,   0.1,   0.0,   0.0,   0.0,   0.0,   0.0
KIPP Academy Boston Charter School (District),04630000,     634,16.00,   0.3,   2.2,   0.0,   0.0,   0.2,   0.0,   0.0
KIPP Academy Lynn Charter (District),04290000,"   1,631",65.00,   3.1,   1.5,   0.0,   0.0,   0.2,   0.0,   0.0
King Philip,06900000,"   1,914",38.00,   1.1,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
Kingston,01450000,"   1,080",21.00,   0.7,   1.4,   0.0,   0.0,   0.0,   0.0,   0.0
Lawrence,01490000,"  14,114",708.00,   2.4,   2.9,   0.0,   0.0,   0.0,   0.0,   0.0
Lawrence Family Development Charter (District),04540000,     804,8.00,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
Learning First Charter Public School (District),04860000,     692,30.00,   1.4,   3.2,   0.0,   0.0,   0.0,   0.0,   0.0
Lee,01500000,     687,35.00,   3.8,   2.2,   0.0,   0.0,   0.0,   0.0,   0.0
Leicester,01510000,"   1,454",81.00,   3.0,   3.7,   0.0,   0.0,   0.3,   0.0,   0.1
Lenox,01520000,     747,15.00,   1.2,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
Leominster,01530000,"   6,242",399.00,   4.5,   3.9,   0.0,   0.0,   0.2,   0.0,   0.0
Leverett,01540000,     147,0.00,,,,,,,
Lexington,01550000,"   7,003",28.00,   0.2,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0
Libertas Academy Charter School (District),35140000,     364,14.00,   1.1,   2.7,   0.0,   0.0,   0.0,   0.0,   0.0
Lincoln,01570000,"   1,134",13.00,   0.7,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Lincoln-Sudbury,06950000,"   1,520",30.00,   0.9,   1.6,   0.0,   0.0,   0.0,   0.0,   0.0
Littleton,01580000,"   1,684",12.00,   0.2,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Longmeadow,01590000,"   2,852",73.00,   1.8,   1.3,   0.0,   0.0,   0.0,   0.0,   0.0
Lowell,01600000,"  15,264",925.00,   1.0,   5.5,   0.0,   0.0,   0.4,   0.0,   0.0
Lowell Community Charter Public (District),04560000,     827,58.00,   2.5,   4.5,   0.0,   0.0,   1.0,   0.0,   0.0
Lowell Middlesex Academy Charter (District),04580000,     111,6.00,   0.0,   5.4,   0.0,   0.0,   0.0,   0.0,   0.0
Ludlow,01610000,"   2,428",163.00,   2.9,   4.9,   0.0,   0.0,   0.0,   0.0,   0.0
Lunenburg,01620000,"   1,649",47.00,   1.6,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0
Lynn,01630000,"  16,746",869.00,   1.2,   4.5,   0.0,   0.0,   0.1,   0.1,   0.0
Lynnfield,01640000,"   2,210",12.00,   0.4,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0
MATCH Charter Public School (District),04690000,"   1,257",127.00,   2.9,   8.0,   0.0,   0.0,   0.6,   0.0,   0.0
Ma Academy for Math and Science,04680000,      91,0.00,,,,,,,
Malden,01650000,"   6,816",289.00,   0.6,   3.8,   0.0,   0.0,   0.2,   0.0,   0.0
Manchester Essex Regional,06980000,"   1,280",3.00,,,,,,,
Mansfield,01670000,"   3,528",81.00,   1.6,   1.6,   0.0,   0.0,   0.1,   0.0,   0.0
Map Academy Charter School (District),35170000,     258,11.00,   0.0,   4.3,   0.0,   0.0,   0.0,   0.0,   0.0
Marblehead,01680000,"   2,665",46.00,   0.8,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
Marblehead Community Charter Public (District),04640000,     240,7.00,   0.4,   2.5,   0.0,   0.0,   0.0,   0.0,   0.0
Marion,01690000,     423,1.00,,,,,,,
Marlborough,01700000,"   5,328",186.00,   1.2,   3.0,   0.0,   0.0,   0.0,   0.0,   0.0
Marshfield,01710000,"   3,929",67.00,   0.5,   1.5,   0.0,   0.0,   0.0,   0.0,   0.0
Martha's Vineyard,07000000,     741,32.00,   1.2,   3.2,   0.0,   0.0,   0.0,   0.1,   0.0
Martha's Vineyard Charter (District),04660000,     182,8.00,   0.0,   0.0,   0.0,   0.0,   4.4,   0.0,   0.0
Martin Luther King Jr. Charter School of Excellence (District),04920000,     377,11.00,   1.1,   1.9,   0.0,   0.0,   0.0,   0.0,   0.0
Masconomet,07050000,"   1,656",42.00,   2.2,   0.6,   0.0,   0.0,   0.1,   0.0,   0.0
Mashpee,01720000,"   1,526",29.00,   0.0,   1.9,   0.0,   0.0,   0.0,   0.1,   0.0
Mattapoisett,01730000,     447,0.00,,,,,,,
Maynard,01740000,"   1,251",14.00,   0.2,   0.9,   0.1,   0.0,   0.2,   0.0,   0.0
Medfield,01750000,"   2,577",13.00,   0.2,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Medford,01760000,"   4,353",90.00,   0.3,   1.7,   0.0,   0.0,   0.0,   0.0,   0.0
